Index,Label,Type,HasShape,Volume_mm3,BoundBox,Visibility
1,AL-SHOULDER,Part::Feature,Yes,6156.37,(29.5×79.0×54.3mm),N/A
2,AL-ELBOW-A,Part::Feature,Yes,3999.55,(54.1×40.4×36.4mm),N/A
3,AL-ELBOW-B,Part::Feature,Yes,2628.00,(45.4×35.5×8.5mm),N/A
4,AL-BASE,Part::Feature,Yes,7399.75,(54.8×72.4×35.6mm),N/A
5,AL-轻量化夹头-活动侧,Part::Feature,Yes,3657.03,(77.9×25.2×39.4mm),N/A
6,AL-轻量化夹头-固定侧,Part::Feature,Yes,3986.82,(103.8×24.0×34.5mm),N/A
7,AL-轻量化夹头-底座,Part::Feature,Yes,3735.82,(46.9×32.8×35.5mm),N/A
8,AL-轻量化底座-A,Part::Feature,Yes,4383.03,(83.0×60.8×1.5mm),N/A
9,AL-舵机型材底座-51105轴承定位片,Part::Feature,Yes,893.03,(25.0×25.0×2.0mm),N/A
10,ZK_122,Part::Feature,Yes,14253.28,(45.2×15.0×24.7mm),N/A
11,SG-ZIJI_15,Part::Feature,Yes,8526.53,(45.1×9.8×24.7mm),N/A
12,XG-ZIJI_16,Part::Feature,Yes,11128.23,(45.2×14.1×24.8mm),N/A
13,MOTOR-1723_3,Part::Feature,Yes,5285.83,(18.5×30.5×18.5mm),N/A
14,PCB-CHAZUO_92,Part::Feature,Yes,1237.99,(28.8×7.2×21.1mm),N/A
15,GE_27,Part::Feature,Yes,825.02,(17.6×18.3×17.6mm),N/A
16,金属舵盘（驱动） v1,Part::Feature,Yes,757.43,(19.2×4.5×19.2mm),N/A
17,金属舵盘（从动） v1,Part::Feature,Yes,566.05,(19.2×3.4×19.2mm),N/A
18,ST3215 v1,App::Part,Yes,42580.33,(45.3×24.8×37.8mm),N/A
19,원점,App::Origin,No,0.00,,N/A
20,X축,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
21,Y-축,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
22,Z축,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
23,XY 평면,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
24,XZ 평면,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
25,YZ평면,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
26,圆形隔离柱 M3*35 v1,Part::Feature,Yes,742.20,(6.0×6.0×35.0mm),N/A
27,圆形隔离柱 M3*35 v002,Part::Feature,Yes,742.20,(6.0×6.0×35.0mm),N/A
28,圆形隔离柱 M3*35 v003,Part::Feature,Yes,742.20,(6.0×6.0×35.0mm),N/A
29,圆形隔离柱 M3*35 v004,Part::Feature,Yes,742.20,(6.0×6.0×35.0mm),N/A
30,Board,Part::Feature,Yes,6405.92,(65.0×65.0×1.6mm),N/A
31,Extruded,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
32,432138512,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
33,원점001,App::Origin,No,0.00,,N/A
34,X축001,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
35,Y-축001,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
36,Z축001,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
37,XY 평면001,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
38,XZ 평면001,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
39,YZ평면001,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
40,Extruded001,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
41,432138512001,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
42,원점002,App::Origin,No,0.00,,N/A
43,X축002,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
44,Y-축002,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
45,Z축002,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
46,XY 평면002,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
47,XZ 평면002,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
48,YZ평면002,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
49,Extruded (1),Part::Feature,Yes,0.51,(0.8×1.5×0.4mm),N/A
50,432124816,App::Part,Yes,0.51,(0.8×1.5×0.4mm),N/A
51,원점003,App::Origin,No,0.00,,N/A
52,X축003,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
53,Y-축003,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
54,Z축003,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
55,XY 평면003,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
56,XZ 평면003,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
57,YZ평면003,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
58,C7,App::Part,Yes,0.72,(0.9×1.6×0.5mm),N/A
59,원점004,App::Origin,No,0.00,,N/A
60,X축004,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
61,Y-축004,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
62,Z축004,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
63,XY 평면004,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
64,XZ 평면004,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
65,YZ평면004,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
66,Extruded (1)001,Part::Feature,Yes,0.51,(0.8×1.5×0.4mm),N/A
67,432124816001,App::Part,Yes,0.51,(0.8×1.5×0.4mm),N/A
68,원점005,App::Origin,No,0.00,,N/A
69,X축005,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
70,Y-축005,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
71,Z축005,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
72,XY 평면005,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
73,XZ 평면005,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
74,YZ평면005,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
75,Extruded002,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
76,432138512002,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
77,원점006,App::Origin,No,0.00,,N/A
78,X축006,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
79,Y-축006,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
80,Z축006,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
81,XY 평면006,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
82,XZ 평면006,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
83,YZ평면006,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
84,Extruded003,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
85,432138512003,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
86,원점007,App::Origin,No,0.00,,N/A
87,X축007,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
88,Y-축007,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
89,Z축007,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
90,XY 평면007,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
91,XZ 평면007,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
92,YZ평면007,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
93,C20,App::Part,Yes,0.72,(0.9×1.6×0.5mm),N/A
94,원점008,App::Origin,No,0.00,,N/A
95,X축008,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
96,Y-축008,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
97,Z축008,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
98,XY 평면008,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
99,XZ 평면008,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
100,YZ평면008,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
101,Extruded (1)002,Part::Feature,Yes,0.51,(0.8×1.5×0.4mm),N/A
102,432124816002,App::Part,Yes,0.51,(0.8×1.5×0.4mm),N/A
103,원점009,App::Origin,No,0.00,,N/A
104,X축009,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
105,Y-축009,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
106,Z축009,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
107,XY 평면009,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
108,XZ 평면009,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
109,YZ평면009,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
110,Extruded004,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
111,432138512004,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
112,원점010,App::Origin,No,0.00,,N/A
113,X축010,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
114,Y-축010,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
115,Z축010,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
116,XY 평면010,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
117,XZ 평면010,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
118,YZ평면010,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
119,Extruded005,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
120,432138512005,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
121,원점011,App::Origin,No,0.00,,N/A
122,X축011,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
123,Y-축011,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
124,Z축011,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
125,XY 평면011,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
126,XZ 평면011,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
127,YZ평면011,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
128,C21,App::Part,Yes,0.72,(0.9×1.6×0.5mm),N/A
129,원점012,App::Origin,No,0.00,,N/A
130,X축012,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
131,Y-축012,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
132,Z축012,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
133,XY 평면012,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
134,XZ 평면012,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
135,YZ평면012,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
136,Extruded (1)003,Part::Feature,Yes,0.51,(0.8×1.5×0.4mm),N/A
137,432124816003,App::Part,Yes,0.51,(0.8×1.5×0.4mm),N/A
138,원점013,App::Origin,No,0.00,,N/A
139,X축013,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
140,Y-축013,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
141,Z축013,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
142,XY 평면013,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
143,XZ 평면013,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
144,YZ평면013,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
145,Extruded006,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
146,432138512006,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
147,원점014,App::Origin,No,0.00,,N/A
148,X축014,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
149,Y-축014,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
150,Z축014,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
151,XY 평면014,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
152,XZ 평면014,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
153,YZ평면014,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
154,Extruded007,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
155,432138512007,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
156,원점015,App::Origin,No,0.00,,N/A
157,X축015,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
158,Y-축015,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
159,Z축015,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
160,XY 평면015,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
161,XZ 평면015,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
162,YZ평면015,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
163,R15,App::Part,Yes,0.72,(0.9×1.6×0.5mm),N/A
164,원점016,App::Origin,No,0.00,,N/A
165,X축016,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
166,Y-축016,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
167,Z축016,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
168,XY 평면016,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
169,XZ 평면016,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
170,YZ평면016,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
171,User_Library-DS1066-04-4MSV6,Part::Feature,Yes,2.92,(3.9×0.8×3.6mm),N/A
172,User_Library-DS1066-04-4MSV007,Part::Feature,Yes,2.92,(3.9×0.8×3.6mm),N/A
173,User_Library-DS1066-04-4MSV008,Part::Feature,Yes,162.10,(7.4×12.0×6.5mm),N/A
174,User_Library-DS1066-04-4MSV009,App::Part,Yes,167.94,(7.4×12.0×6.5mm),N/A
175,원점017,App::Origin,No,0.00,,N/A
176,X축017,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
177,Y-축017,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
178,Z축017,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
179,XY 평면017,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
180,XZ 평면017,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
181,YZ평면017,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
182,H7,App::Part,Yes,167.94,(7.4×12.0×6.5mm),N/A
183,원점018,App::Origin,No,0.00,,N/A
184,X축018,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
185,Y-축018,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
186,Z축018,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
187,XY 평면018,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
188,XZ 평면018,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
189,YZ평면018,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
190,Extruded (5),Part::Feature,Yes,22.25,(5.0×5.0×0.9mm),N/A
191,804367824,App::Part,Yes,22.25,(5.0×5.0×0.9mm),N/A
192,원점019,App::Origin,No,0.00,,N/A
193,X축019,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
194,Y-축019,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
195,Z축019,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
196,XY 평면019,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
197,XZ 평면019,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
198,YZ평면019,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
199,U11,App::Part,Yes,22.25,(5.0×5.0×0.9mm),N/A
200,원점020,App::Origin,No,0.00,,N/A
