Index,Label,Type,HasShape,Volume_mm3,BoundBox,Visibility
2364,XY 평면261,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2365,XZ 평면261,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2366,YZ평면261,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2367,Extruded (11)019,Part::Feature,Yes,0.11,(0.3×0.9×0.5mm),N/A
2368,432120464019,App::Part,Yes,0.11,(0.3×0.9×0.5mm),N/A
2369,원점262,App::Origin,No,0.00,,N/A
2370,X축262,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2371,Y-축262,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2372,Z축262,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2373,XY 평면262,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2374,XZ 평면262,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2375,YZ평면262,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2376,C15,App::Part,Yes,0.72,(1.6×0.9×0.5mm),N/A
2377,원점263,App::Origin,No,0.00,,N/A
2378,X축263,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2379,Y-축263,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2380,Z축263,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2381,XY 평면263,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2382,XZ 평면263,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2383,YZ평면263,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2384,Extruded (1)032,Part::Feature,Yes,0.51,(0.8×1.5×0.4mm),N/A
2385,432124816032,App::Part,Yes,0.51,(0.8×1.5×0.4mm),N/A
2386,원점264,App::Origin,No,0.00,,N/A
2387,X축264,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2388,Y-축264,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2389,Z축264,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2390,XY 평면264,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2391,XZ 평면264,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2392,YZ평면264,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2393,Extruded064,Part::Feature,Yes,0.11,(0.9×0.3×0.5mm),N/A
2394,432138512064,App::Part,Yes,0.11,(0.9×0.3×0.5mm),N/A
2395,원점265,App::Origin,No,0.00,,N/A
2396,X축265,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2397,Y-축265,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2398,Z축265,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2399,XY 평면265,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
